"year","province","MR","DR","POP","GDP","INC","CON","CPI","HEET","HP","UR","GR","SAV","MN","DN","GDPC","SAVPG"
2018,"河北省",0.0136905917298982,0.00640116757837773,7556,36010.27,23445.65,16722,102.4,2321.86111111111,7135.79055555561,3.575,3.37453634085216,35538.7276190501,51.7230555555552,24.1836111111111,4.76578480677607,0.986905336145774
2010,"天津市",0.0133949191685912,0.0046189376443418,1299,9224.46,18219.5220952341,14779.8699047593,103.5,4412,7940,3.6,-1.56255639097708,5558.2,8.7,3,7.10120092378753,0.602550176378888
2009,"四川省",0.0173488087965791,0.00487965791081246,8185,14151.28,7546.96180952108,5805.0801904751,100.8,1732,3434,4.3,0.930000000000007,11575.2,71,19.97,1.72892852779475,0.817961343426178
2016,"上海市",0.0103471074380165,0.00682644628099173,2420,28178.65,54305.35,37458.33,103.2,3327,25910,4.1,5.87,23639.8,12.52,8.26,11.6440702479339,0.838925924414406
2017,"河北省",0.0134281914893617,0.00618085106382979,7520,34016.32,21484.13,15436.99,101.7,2328,7039,3.7,3.14,33065.2361904783,50.49,23.24,4.52344680851064,0.972040367402421
2009,"云南省",0.015003281557646,0.0026602493983811,4571,6169.75,6323.05866666464,4661.98590476066,100.4,1298,2723,4.3,8,4668.6,34.29,6.08,1.34975935243929,0.756691924308116
2013,"云南省",0.0192916577768295,0.00389588222743759,4687,11832.31,12577.87,8823.81,103.1,1662,4176,4,7.56,8969.8,45.21,9.13,2.52449541284404,0.758076825235309
2009,"青海省",0.0106642728904847,0.00272890484739677,557,1081.27,6593.0270476169,7648.84790476062,102.6,1080,2442,3.8,1.20999999999999,711.3,2.97,0.76,1.94123877917415,0.65783754288938
2013,"新疆维吾尔自治区",0.023030035335689,0.00963780918727915,2264,8443.84,13669.62,11391.84,103.9,1681,3949,3.4,5.25,5884.5,26.07,10.91,3.72961130742049,0.696898567476409
2009,"甘肃省",0.0095812133072407,0.0019334637964775,2555,3387.56,5706.61876190268,4302.72647618875,101.3,1806,2396,3.3,3.8,3026.9,12.24,2.47,1.32585518590998,0.893533989065876
2016,"湖北省",0.0174613423959218,0.00622259983007647,5885,32665.38,21786.64,15888.65,102.2,2950,6457,2.4,5.48999999999999,20886.6676190482,51.38,18.31,5.55061682242991,0.63941296929802
2013,"青海省",0.0164359861591695,0.00373702422145329,578,2122.06,12947.84,11576.5,103.9,1162,3957,3.3,3.84999999999999,1504.2,4.75,1.08,3.67138408304498,0.708839523858892
2009,"河北省",0.0204719931760023,0.00360250213249929,7034,17235.48,8442.17295237863,6095.82571428409,99.3,1871,3210,3.9,3.59999999999999,13551.1,72,12.67,2.45030992323003,0.786232817420809
2017,"浙江省",0.0121760650521478,0.00557539331801308,5657,51768.26,42045.69,27079.06,102.1,2345,13430,2.7,11.48,39114.4866666682,34.44,15.77,9.15118614106417,0.755568888478543
2010,"青海省",0.0106571936056838,0.00284191829484902,563,1350.43,8147.80647618836,8642.04104761779,105.4,1119,2894,3.8,2.42992481203009,868.2,3,0.8,2.3986323268206,0.642906333538206
2010,"吉林省",0.0162358937022206,0.00684382963232617,2747,8667.58,12030.5612380933,8977.84104761784,103.7,2716,3495,3.8,4.89406015037594,5147.3,22.3,9.4,3.15528940662541,0.593856647414849
2016,"广西壮族自治区",0.0162877221992559,0.00466308391897478,4838,18317.64,18305.08,12295.18,101.6,2279,5042,2.9,8.43000000000001,12256.4457142861,39.4,11.28,3.78620090946672,0.669106157468214
2011,"青海省",0.0146830985915493,0.00330985915492958,568,1670.44,9702.58590476029,9635.23419047496,106.1,1082,3090.01,3.8,2.61,1043.5,4.17,0.94,2.94091549295775,0.624685711549053
2016,"青海省",0.0206408094435076,0.00512647554806071,593,2572.49,17301.76,14774.66,101.8,1319,4612,3.1,5.8,2046.45523809537,6.12,1.52,4.33809443507588,0.795515332652554
2015,"江苏省",0.0197091273821464,0.00574974924774323,7976,70116.38,29538.85,20555.56,101.7,2896,7177,3,3.01000000000001,40109.6533333343,78.6,22.93,8.79092026078235,0.572043983635981
2013,"重庆市",0.0204107744107744,0.009003367003367,2970,12783.26,16568.67,12600.2,102.7,2894,5239,3.4,3.95999999999999,9622.3,30.31,13.37,4.30412794612795,0.752726612773267
2013,"辽宁省",0.0168382687927107,0.00692938496583144,4390,27213.22,20817.84,14950.16,102.4,2903,4918,3.4,1.97,19659.5,36.96,15.21,6.19891116173121,0.722424615683113
2017,"广西壮族自治区",0.0155332650972364,0.00491299897645855,4885,18523.26,19904.76,13423.66,101.6,2383,5623,2.2,9.2,13347.3114285721,37.94,12,3.79186489252815,0.720570322317565
2015,"宁夏回族自治区",0.0182335329341317,0.00541916167664671,668,2911.77,17329.09,13815.63,101.1,2244,4010,4,6.16,2309.74666666676,6.09,1.81,4.3589371257485,0.79324488770293
2013,"湖南省",0.0185502914362577,0.00500074727245554,6691,24621.67,16004.9,11945.85,102.5,2106,3908,4.2,5.7,14539.7,62.06,16.73,3.67981916006576,0.590524525753127
2017,"广东省",0.0135750738651625,0.00394484734533083,11169,89705.23,33003.29,24819.63,101.5,2454,11416,2.5,13.46,66365.638095241,75.81,22.03,8.03162592891038,0.739819050631062
2015,"海南省",0.0182436882546652,0.00331503841931943,911,3702.76,18978.97,13575.02,101,2290,9226,2.3,10.47,2986.53333333333,8.31,1.51,4.06450054884742,0.806569513912143
2011,"安徽省",0.0238404825737265,0.00400469168900804,5968,15300.65,11518.6064761886,7797.91028571269,105.6,2007,4371.24,3.7,2.7,9233.6,71.14,11.95,2.56378183646113,0.603477630035325
2013,"湖北省",0.0222728056561476,0.00520434557682359,5799,24791.83,16472.46,11760.77,102.8,3144,4847,3.5,3.33,15507,64.58,15.09,4.27519055009484,0.62548831611059
2010,"江苏省",0.0192908882958445,0.00406659041809633,7869,41425.48,16547.8415238066,13534.0256190458,103.8,2819,5592,3.2,-1.39654135338333,23334.5,75.9,16,5.26438937603253,0.563288584706804
2014,"河北省",0.0179117009750813,0.00502979414951246,7384,29421.15,16647.4,11931.54,101.7,2098,4988,3.6,4.91,25690.1,66.13,18.57,3.98444609967497,0.873184766740933
2017,"黑龙江省",0.0151332805489575,0.0103932435998944,3789,15902.68,21205.79,15577.48,101.3,2403,6073,4.2,3.83,13645.804761905,28.67,19.69,4.19706518870414,0.85808208188211
2017,"上海市",0.00899090157154673,0.00486352357320099,2418,30632.99,58987.96,39791.85,101.7,3498,24866,3.9,3.54000000000001,24338.5,10.87,5.88,12.6687303556658,0.794519242163432
2010,"湖南省",0.0193302891933029,0.00420091324200913,6570,16037.96,10277.3386666644,7753.53361904575,103.1,2051,3014,4.2,6.10007518796999,9022.6,63.5,13.8,2.4410898021309,0.562577784206969
2017,"四川省",0.016610455311973,0.00750903396771862,8302,36980.22,20579.82,16179.94,101.4,2339,5888,4,1.93000000000001,33648.6190476203,68.95,31.17,4.45437484943387,0.909908568624533
2017,"福建省",0.0149015597034007,0.00541549475837382,3911,32182.09,30047.75,21249.35,101.2,2352,9284,3.9,4.12,16177.4790476202,29.14,10.59,8.22860905139351,0.502685781054624
2011,"辽宁省",0.0170020533880903,0.00634725074150125,4383,22226.7,17464.7548571406,12140.3628571415,105.2,2712,4542.88,3.7,1.31999999999999,15365.7,37.26,13.91,5.07111567419576,0.691317199584284
