"","id","county","chci09","chci10","chci11","chci12","chci13","chci14","chci15","chci16","chci17","pop09","pop10","pop11","pop12","pop13","pop14","pop15","pop16","pop17","chcig","chcigr","popg","popgr"
"1069",21151,"Madison County, Kentucky",138.71,140.04,140.22,139.82,141.45,141.92,142.22,142.8,143.91,48220,49941,50496,51198,51571,52281,52635,53115,53820,5.20000000000005,0.0374882849109657,5600,0.116134384072999
"1070",21153,"Magoffin County, Kentucky",115.78,116.1,114.71,115.53,114.53,115.22,116.3,117.81,118.42,8128,8528,8943,8981,8959,8910,8912,8842,8805,2.64,0.022801865607186,677,0.0832923228346457
"1071",21155,"Marion County, Kentucky",123.21,124.25,127.56,126.59,126.47,126.08,126.68,126.7,126.23,12641,13135,13281,13416,13509,13603,13406,13237,13137,3.02000000000001,0.0245109974839705,496,0.0392374021042639
"1072",21157,"Marshall County, Kentucky",129.09,130.11,130.88,131.66,130.63,132.09,131.75,132.38,134.1,22394,22469,22575,22594,22593,22582,22617,22645,22633,5.00999999999999,0.0388101324657215,239,0.0106725015629186
"1073",21159,"Martin County, Kentucky",110.04,114.38,115.94,118.35,118.54,119.14,117.8,117.85,118.97,8835,9125,8935,8955,8854,8997,8765,8719,8547,8.92999999999998,0.0811523082515447,-288,-0.032597623089983
"1074",21161,"Mason County, Kentucky",125.75,126.23,127.39,128.36,129.4,129.55,131.72,131.12,135.11,11817,11760,11841,11821,11829,11792,11688,11771,11689,9.35999999999999,0.0744333996023856,-128,-0.0108318524160108
"1075",21163,"Meade County, Kentucky",127.85,128.37,130.3,129.67,130.51,131.03,131.92,132.52,134.72,17855,18334,18459,18579,18756,19042,19206,19124,19235,6.87000000000002,0.0537348455220964,1380,0.0772892747129656
"1076",21165,"Menifee County, Kentucky",120.78,116.78,116.57,118.34,120.38,119.5,120.53,122.97,122.09,4749,4591,4374,4374,4320,4371,4504,4586,4668,1.30999999999997,0.0108461665838713,-81,-0.0170562223626027
"1077",21167,"Mercer County, Kentucky",131.01,130.99,131.99,131.83,133.19,132.42,132.74,132.92,132.09,14929,14718,14732,14753,14781,14893,14954,14986,14944,1.07999999999996,0.00824364552324216,15,0.00100475584432983
"1078",21169,"Metcalfe County, Kentucky",113.1,111.68,113.61,113.83,114.63,119.38,120.76,121.43,122.71,6932,6906,6900,6928,6923,6939,6954,6976,6925,9.61000000000001,0.0849690539345713,-7,-0.00100980957876515
"1079",21171,"Monroe County, Kentucky",117.32,118.5,116.47,117.72,118.82,120.26,121.39,123.42,124.26,8011,7597,7585,7565,7556,7486,7487,7449,7414,6.94,0.0591544493692465,-597,-0.0745225315191611
"1080",21173,"Montgomery County, Kentucky",123.64,126.37,127.08,127.48,127.01,129.66,130.31,129.57,130.92,16885,17492,17780,17848,18089,18183,18436,18505,18653,7.28000000000002,0.0588806211582014,1768,0.104708320994966
"1081",21175,"Morgan County, Kentucky",116.12,118.83,117.48,116.89,118.94,120.35,120.45,121.04,122.52,9918,9920,9929,9817,9786,9802,9810,9853,9834,6.40000000000001,0.0551153978642784,-84,-0.00846944948578342
"1082",21177,"Muhlenberg County, Kentucky",121.99,122.69,122.46,123.8,124.2,122.84,123.4,125.76,125.37,21799,22054,22060,21930,21879,21835,21777,21649,21552,3.38000000000001,0.0277071891138619,-247,-0.0113307949905959
"1083",21179,"Nelson County, Kentucky",130.27,130.68,129.65,130.77,133.04,132.87,133.13,134.85,134.99,27964,28143,28518,28821,29080,29371,29502,29822,30234,4.72,0.0362324403162662,2270,0.0811757974538693
"1084",21181,"Nicholas County, Kentucky",118.02,119.98,120.84,123.54,126.14,126.72,125.3,125.04,125.26,4831,4949,4939,4907,4915,4899,4886,4881,4810,7.23999999999998,0.061345534655143,-21,-0.00434692610225626
"1085",21183,"Ohio County, Kentucky",121.06,120.29,122.3,121.96,121,121.01,122.68,122.85,124.47,15998,16086,16148,16165,16114,16154,16270,16448,16486,3.41,0.0281678506525689,488,0.0305038129766221
"1086",21185,"Oldham County, Kentucky",152.16,151.45,153.26,153.97,155,154.89,154.61,155.14,156.23,36985,38733,39309,39808,40200,40803,41887,42333,42779,4.07000000000002,0.0267481598317562,5794,0.156658104637015
"1087",21187,"Owen County, Kentucky",130.72,132.16,132.74,131.28,131.11,129.89,127.64,127.09,125.59,7708,7400,7430,7443,7392,7351,7338,7315,7401,-5.13,-0.0392441860465116,-307,-0.0398287493513233
"1088",21189,"Owsley County, Kentucky",107.03,107.9,108.12,110.02,113.18,115.74,120.36,123.35,121.76,3306,3263,3502,3417,3406,3357,3268,3136,3095,14.73,0.137624964963095,-211,-0.0638233514821537
"1089",21191,"Pendleton County, Kentucky",122.37,123.06,125.57,126.41,127.06,127.52,126.49,126.58,127.75,9804,9761,9760,9832,9863,9904,9872,9959,10055,5.37999999999997,0.0439650241072155,251,0.0256017951856385
