,id,county,chci09,chci10,chci11,chci12,chci13,chci14,chci15,chci16,chci17,pop09,pop10,pop11,pop12,pop13,pop14,pop15,pop16,pop17,chcig,chcigr,popg,popgr,fips
930,20081,"Haskell County, Kansas",124.83,125.69,123.49,123.49,124.74,123.49,123.84,123.1,122.23,2372,2492,2626,2581,2575,2561,2527,2480,2503,-2.6,-0.020828327,131,0.055227656,20081
931,20083,"Hodgeman County, Kansas",140.88,140.91,140.69,140.23,140.32,138.18,141.18,143.39,142.2,1369,1325,1305,1369,1386,1365,1391,1384,1338,1.32,0.009369676,-31,-0.022644266,20083
932,20085,"Jackson County, Kansas",134.53,135.07,136.81,138.31,136.95,137.23,137.69,139.68,138.92,8584,8779,8884,8940,8936,9060,8993,8976,8932,4.39,0.032632127,348,0.040540541,20085
933,20087,"Jefferson County, Kansas",137.76,138.95,140.04,139.53,138.83,138.61,137.98,137.75,138.99,12491,12977,13050,13171,13144,13141,13141,13165,13175,1.23,0.008928571,684,0.054759427,20087
934,20089,"Jewell County, Kansas",136.53,136.1,136.87,135.56,133.97,134,135.05,135.38,135.48,2407,2405,2401,2347,2311,2299,2282,2241,2216,-1.05,-0.007690617,-191,-0.07935189,20089
935,20091,"Johnson County, Kansas",163.66,164.81,164.73,165.26,165.53,165.88,166.71,167.33,168.4,345875,351293,357765,363513,368317,373547,378407,383300,388234,4.74,0.028962483,42359,0.1224691,20091
936,20093,"Kearny County, Kansas",120.83,124.45,126.43,125.01,128.51,130.7,128.85,127.03,127.35,2477,2365,2385,2488,2504,2533,2508,2483,2449,6.52,0.053960109,-28,-0.011303997,20093
937,20095,"Kingman County, Kansas",136.25,136.57,136.62,136.82,135.71,136.06,137.05,139.57,140.96,5603,5546,5468,5465,5501,5499,5480,5457,5340,4.71,0.034568807,-263,-0.04693914,20095
938,20097,"Kiowa County, Kansas",140.12,139.3,140.97,141.29,140.52,141.58,144.02,143.72,143.17,1802,1767,1790,1717,1703,1677,1690,1643,1642,3.05,0.021767057,-160,-0.088790233,20097
939,20099,"Labette County, Kansas",134.01,134.74,135.92,137.33,138.53,137.76,137.06,135.3,134.66,14569,14470,14458,14346,14272,14230,14201,14106,14004,0.65,0.004850384,-565,-0.038780973,20099
940,20101,"Lane County, Kansas",135.7,137.02,135.61,135.62,139.14,141.17,140.37,139.76,141.9,1203,1259,1137,1181,1159,1150,1159,1171,1163,6.2,0.04568902,-40,-0.033250208,20101
941,20103,"Leavenworth County, Kansas",144.16,145.37,145.47,145.43,146.1,146.93,146.1,147.59,148.14,48355,49645,50568,51222,51545,51982,52345,53079,53657,3.98,0.027608213,5302,0.109647399,20103
942,20105,"Lincoln County, Kansas",134.69,133.78,136.86,137.95,138.1,139,139.59,138.96,139.58,2263,2349,2323,2335,2319,2304,2251,2181,2206,4.89,0.036305591,-57,-0.025187804,20105
943,20107,"Linn County, Kansas",129.99,129.98,130.69,132.97,131.91,132.65,132.43,133.51,131.71,6639,6882,6834,6781,6814,6776,6661,6687,6786,1.72,0.013231787,147,0.022141889,20107
944,20109,"Logan County, Kansas",131.11,134.94,136.41,135.44,133.56,138.07,137.72,138.15,137.82,1877,1980,2024,1956,1935,1953,1944,1914,1919,6.71,0.0511784,42,0.022376132,20109
945,20111,"Lyon County, Kansas",136.5,136.08,137.24,138.2,138.12,138.82,139.53,141.05,141.34,19934,20552,20373,20235,19886,19809,19821,19999,19909,4.84,0.035457875,-25,-0.001254139,20111
